UNIQUE_ECOREGION_COLOR,ECO_NAME,BIOME_NAME,REALM,BIOMES_O_PLENTY_BIOME,MINECRAFT_BIOME
#004928,Changjiang Plain evergreen forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:orchard,minecraft:forest
#004B34,Rodope montane mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,,minecraft:dark_forest
#004E33,Central Korean deciduous forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:aspen_glade,minecraft:forest
#005040,Pyrenees conifer and mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:woodland,minecraft:forest
#005340,Central China Loess Plateau mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:aspen_glade,minecraft:forest
#005542,Eastern Canadian Forest-Boreal transition,Temperate Broadleaf & Mixed Forests,Nearctic,biomesoplenty:maple_woods,minecraft:forest
#00554D,Pannonian mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,,minecraft:forest
#00584D,Celtic broadleaf forests,Temperate Broadleaf & Mixed Forests,Palearctic,,minecraft:old_growth_birch_forest
#00585A,North Atlantic moist mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:woodland,minecraft:forest
#005A4F,Appalachian-Blue Ridge forests,Temperate Broadleaf & Mixed Forests,Nearctic,biomesoplenty:maple_woods,minecraft:forest
#005C28,Western Siberian hemiboreal forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:woodland,minecraft:forest
#005F27,Nihonkai evergreen forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:orchard,minecraft:forest
#005F5E,Appalachian mixed mesophytic forests,Temperate Broadleaf & Mixed Forests,Nearctic,biomesoplenty:maple_woods,minecraft:forest
#00603E,Juan Fernández Islands temperate forests,Temperate Broadleaf & Mixed Forests,Neotropic,biomesoplenty:woodland,minecraft:forest
#006127,Southern Great Lakes forests,Temperate Broadleaf & Mixed Forests,Nearctic,biomesoplenty:maple_woods,minecraft:forest
#006128,Western Great Lakes forests,Temperate Broadleaf & Mixed Forests,Nearctic,biomesoplenty:maple_woods,minecraft:forest
#006135,Ussuri broadleaf and mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:maple_woods,minecraft:forest
#006635,Ozark Highlands mixed forests,Temperate Broadleaf & Mixed Forests,Nearctic,biomesoplenty:woodland,minecraft:forest
