"ECO_ID","ECO_NAME","BIOME_NUM","BIOME_NAME","REALM","COLOR","COLOR_BIO","UNIQUE_ECOREGION_COLOR","BIOMES_O_PLENTY_BIOME","BIOMES_O_PLENTY_BIOME_PRIORITY","REGIONS_UNEXPLORED_BIOME","REGIONS_UNEXPLORED_BIOME_PRIORITY","NATURES_SPIRIT_BIOME","NATURES_SPIRIT_BIOME_PRIORITY","MINECRAFT_BIOME"
"400","Southeast US mixed woodlands and savannas","8","Temperate Grasslands, Savannas & Shrublands","Nearctic","#E8FC5F","#FEFF73","#C3FF57","biomesoplenty:forested_field","3","regions_unexplored:grassland","2","natures_spirit:prairie","1","minecraft:savanna"
"401","Texas blackland prairies","8","Temperate Grasslands, Savannas & Shrublands","Nearctic","#F3FC49","#FEFF73","#EBE47B","biomesoplenty:prairie","2","regions_unexplored:grassland","3","natures_spirit:prairie","1","minecraft:plains"
"402","Western shortgrass prairie","8","Temperate Grasslands, Savannas & Shrublands","Nearctic","#E7BD33","#FEFF73","#D7FF5C","biomesoplenty:prairie","2","regions_unexplored:steppe","3","natures_spirit:prairie","1","minecraft:plains"
"403","Willamette Valley oak savanna","8","Temperate Grasslands, Savannas & Shrublands","Nearctic","#A87001","#FEFF73","#E6D47E","biomesoplenty:forested_field","2","regions_unexplored:prairie","3","natures_spirit:prairie","1","minecraft:savanna"
"404","Ahklun and Kilbuck Upland Tundra","11","Tundra","Nearctic","#4C82B6","#9ED7C2","#9BE8D5","biomesoplenty:tundra","2","regions_unexplored:frozen_tundra","3","natures_spirit:snowcapped_red_peaks","1","minecraft:snowy_plains"
"405","Alaska-St. Elias Range tundra","11","Tundra","Nearctic","#61D2F2","#9ED7C2","#94B9A0","biomesoplenty:tundra","2","regions_unexplored:icy_heights","3","natures_spirit:snowcapped_red_peaks","1","minecraft:snowy_plains"
"406","Aleutian Islands tundra","11","Tundra","Nearctic","#4DA6A2","#9ED7C2","#A1D4B1","biomesoplenty:tundra","2","regions_unexplored:frozen_pine_taiga","3","natures_spirit:snowcapped_red_peaks","1","minecraft:snowy_plains"
"407","Arctic coastal tundra","11","Tundra","Nearctic","#78F3F1","#9ED7C2","#90B4B2","biomesoplenty:muskeg","3","regions_unexplored:icy_heights","2","natures_spirit:snowcapped_red_peaks","1","minecraft:snowy_plains"
"408","Arctic foothills tundra","11","Tundra","Nearctic","#4D99B3","#9ED7C2","#9EC5B9","biomesoplenty:tundra","2","regions_unexplored:frozen_tundra","3","natures_spirit:snowcapped_red_peaks","1","minecraft:snowy_plains"
"409","Beringia lowland tundra","11","Tundra","Nearctic","#69F6D6","#9ED7C2","#8CAFA9","biomesoplenty:muskeg","3","regions_unexplored:cold_boreal_taiga","2","natures_spirit:snowcapped_red_peaks","1","minecraft:snowy_plains"
