"ECO_ID","ECO_NAME","BIOME_NUM","BIOME_NAME","REALM","COLOR","COLOR_BIO","UNIQUE_ECOREGION_COLOR","BIOMES_O_PLENTY_BIOME","MINECRAFT_BIOME"
"600","Cuban cactus scrub","13","Deserts & Xeric Shrublands","Neotropic","#F76A63","#CC6767","#B46D6A","biomesoplenty:dryland","minecraft:savanna"
"601","Galápagos Islands xeric scrub","13","Deserts & Xeric Shrublands","Neotropic","#F5984B","#CC6767","#DE8A5E","biomesoplenty:dryland","minecraft:savanna"
"602","Guajira-Barranquilla xeric scrub","13","Deserts & Xeric Shrublands","Neotropic","#F7975B","#CC6767","#AF6B70","biomesoplenty:dryland","minecraft:savanna"
"603","La Costa xeric shrublands","13","Deserts & Xeric Shrublands","Neotropic","#FA595E","#CC6767","#D97D61","biomesoplenty:dryland","minecraft:savanna"
"604","Malpelo Island xeric scrub","13","Deserts & Xeric Shrublands","Neotropic","#B34544","#CC6767","#AA6C77","biomesoplenty:dryland","minecraft:savanna"
"605","Motagua Valley thornscrub","13","Deserts & Xeric Shrublands","Neotropic","#B69248","#CC6767","#C56A7E","biomesoplenty:dryland","minecraft:savanna"
"606","Paraguaná xeric scrub","13","Deserts & Xeric Shrublands","Neotropic","#CC9753","#CC6767","#A56C7D","biomesoplenty:dryland","minecraft:savanna"
"607","San Lucan xeric scrub","13","Deserts & Xeric Shrublands","Neotropic","#A85E1F","#CC6767","#C06C88","biomesoplenty:dryland","minecraft:savanna"
"608","Sechura desert","13","Deserts & Xeric Shrublands","Neotropic","#F15C56","#CC6767","#A05635","","minecraft:badlands"
"609","St. Peter and St. Paul Rocks","13","Deserts & Xeric Shrublands","Neotropic","#BFA244","#CC6767","#C06C87","biomesoplenty:wasteland","minecraft:desert"
"610","Tehuacán Valley matorral","13","Deserts & Xeric Shrublands","Neotropic","#F57558","#CC6767","#F47656","","minecraft:badlands"
"611","Amazon-Orinoco-Southern Caribbean mangroves","14","Mangroves","Neotropic","#E600AA","#FE01C4","#F70AF3","biomesoplenty:bayou","minecraft:mangrove_swamp"
