ECO_ID,ECO_NAME,BIOME_NUM,BIOME_NAME,REALM,COLOR,COLOR_BIO,UNIQUE_ECOREGION_COLOR
0,Rock and Ice,11,N/A,N/A,#E2E2E0,#FFEAAF,#FFFD88
1,Albertine Rift montane forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#304A00,#38A700,#53A005
2,Cameroon Highlands forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#70A800,#38A700,#28CA00
3,Central Congolian lowland forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#5D9600,#38A700,#629B09
4,Comoros forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#4C7300,#38A700,#3DC500
5,Congolian coastal forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#6C9400,#38A700,#0D960C
6,Cross-Niger transition forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#6C9400,#38A700,#51C000
7,Cross-Sanaga-Bioko coastal forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#98E500,#38A700,#1E910F
8,East African montane forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#13ED00,#38A700,#63BB00
9,Eastern Arc forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#267400,#38A700,#2D8C12
10,Eastern Congolian swamp forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#267400,#38A700,#75B600
11,Eastern Guinean forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#4DE600,#38A700,#3B8714
12,Ethiopian montane forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#4DE600,#38A700,#06B100
13,Granitic Seychelles forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#70A800,#38A700,#478216
14,Guinean montane forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#304A00,#38A700,#1AAC01
15,Knysna-Amatole montane forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#23DB01,#38A700,#467D00
16,Kwazulu Natal-Cape coastal forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#304A00,#38A700,#529D0C
17,Madagascar humid forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#6C9400,#38A700,#8DD100
18,Madagascar subhumid forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#13ED00,#38A700,#61980F
19,Maputaland coastal forests and woodlands,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#36C900,#38A700,#0DCC00
20,Mascarene forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#4C7300,#38A700,#60980F
21,Mount Cameroon and Bioko montane forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#304A00,#38A700,#23C700
22,Niger Delta swamp forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#7CAD75,#38A700,#129314
23,Nigerian lowland forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#70A800,#38A700,#37C200
24,Northeast Congolian lowland forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#80CC00,#38A700,#129315
25,Northern Swahili coastal forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#70A800,#38A700,#4BBD00
26,Northwest Congolian lowland forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#47B700,#38A700,#208E15
27,"São Tomé, Príncipe, and Annobón forests",1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#47B700,#38A700,#5EB800
28,Southern Swahili coastal forests and woodlands,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#304A00,#38A700,#2E8917
29,Western Congolian swamp forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#70A800,#38A700,#6FB301
30,Western Guinean lowland forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,#5AA500,#38A700,#2A8400
31,Cape Verde Islands dry forests,2,Tropical & Subtropical Dry Broadleaf Forests,Afrotropic,#76B532,#CCCD65,#B2D46F
32,Madagascar dry deciduous forests,2,Tropical & Subtropical Dry Broadleaf Forests,Afrotropic,#99EB27,#CCCD65,#A59C3B
33,Zambezian evergreen dry forests,2,Tropical & Subtropical Dry Broadleaf Forests,Afrotropic,#6AC705,#CCCD65,#BACF71
34,Angolan mopane woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#B09200,#FEAA01,#FF7700
35,Angolan scarp savanna and woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#FC8939,#FEAA01,#FBC614
36,Angolan wet miombo woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#C7AB01,#FEAA01,#FF5B00
37,Ascension scrub and grasslands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#FBA87E,#FEAA01,#F6AB19
38,Central bushveld,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#FDAE38,#FEAA01,#FFF600
39,Central Zambezian wet miombo woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#FFAA01,#FEAA01,#F1921E
40,Drakensberg Escarpment savanna and thicket,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#FCD135,#FEAA01,#FFDA00
41,Drakensberg grasslands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#FDBD7F,#FEAA01,#EC7B23
42,Dry miombo woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#FD965B,#FEAA01,#FFBD00
43,East Sudanian savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#E0B51B,#FEAA01,#E76627
44,Guinean forest-savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#FCEE50,#FEAA01,#FF8808
45,Horn of Africa xeric bushlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#FCBE51,#FEAA01,#E2D400
46,Itigi-Sumbu thicket,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#DE5245,#FEAA01,#FF700D
47,Kalahari Acacia woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#FBA141,#FEAA01,#DDB700
48,Limpopo lowveld,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#FCC03C,#FEAA01,#FBFF13
49,Mandara Plateau woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#FCE55B,#FEAA01,#D89A00
50,Masai xeric grasslands and shrublands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#FFAA01,#FEAA01,#FEE819
51,Northern Acacia-Commiphora bushlands and thickets,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#DBDB00,#FEAA01,#D37F00
52,Northern Congolian Forest-Savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#ADFC62,#FEAA01,#F9CC1E
53,Sahelian Acacia savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#FCC369,#FEAA01,#FF7D00
54,Serengeti volcanic grasslands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#D9FB4C,#FEAA01,#F4B123
55,Somali Acacia-Commiphora bushlands and thickets,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#FCD135,#FEAA01,#FF6100
56,"South Arabian fog woodlands, shrublands, and dune",7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#A87001,#FEAA01,#F4B223
57,Southern Acacia-Commiphora bushlands and thickets,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#D68A00,#FEAA01,#FFFC00
58,Southern Congolian forest-savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#ABE600,#FEAA01,#EF9A28
59,Southwest Arabian montane woodlands and grasslands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#A93800,#FEAA01,#FFE001
60,St. Helena scrub and woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#FCEA3E,#FEAA01,#EA6C00
61,Victoria Basin forest-savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#66FC43,#FEAA01,#FFC507
62,West Sudanian savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#E69800,#FEAA01,#E55000
63,Western Congolian forest-savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#DBDB00,#FEAA01,#FF9313
64,Zambezian Baikiaea woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#CF7B01,#FEAA01,#E0D700
65,Zambezian mopane woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#EDFD79,#FEAA01,#FF7C18
66,Zambezian-Limpopo mixed woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,#B3FC53,#FEAA01,#DBBA00
67,Amsterdam-Saint Paul Islands temperate grasslands,8,"Temperate Grasslands, Savannas & Shrublands",Afrotropic,#B3FB35,#FEFF73,#FFE48A
68,Tristan Da Cunha-Gough Islands shrub and grasslands,8,"Temperate Grasslands, Savannas & Shrublands",Afrotropic,#E8FC77,#FEFF73,#CCD751
69,East African halophytics,9,Flooded Grasslands & Savannas,Afrotropic,#C3E8FA,#BEE7FF,#CCFEFF
70,Etosha Pan halophytics,9,Flooded Grasslands & Savannas,Afrotropic,#5993B9,#BEE7FF,#BDF8FF
71,Inner Niger Delta flooded savanna,9,Flooded Grasslands & Savannas,Afrotropic,#96BEE1,#BEE7FF,#CADCFC
72,Lake Chad flooded savanna,9,Flooded Grasslands & Savannas,Afrotropic,#43D8F9,#BEE7FF,#C3D4FF
73,Makgadikgadi halophytics,9,Flooded Grasslands & Savannas,Afrotropic,#2C97C3,#BEE7FF,#8CC8F2
74,Sudd flooded grasslands,9,Flooded Grasslands & Savannas,Afrotropic,#A7DCFB,#BEE7FF,#CCF2FF
75,Zambezian coastal flooded savanna,9,Flooded Grasslands & Savannas,Afrotropic,#439CD4,#BEE7FF,#8FD1ED
76,Zambezian flooded grasslands,9,Flooded Grasslands & Savannas,Afrotropic,#6A89A6,#BEE7FF,#CCF7FF
77,Angolan montane forest-grassland,10,Montane Grasslands & Shrublands,Afrotropic,#B57454,#D6C39D,#C4A474
78,East African montane moorlands,10,Montane Grasslands & Shrublands,Afrotropic,#882AC8,#D6C39D,#EEE9B9
79,Ethiopian montane grasslands and woodlands,10,Montane Grasslands & Shrublands,Afrotropic,#B57454,#D6C39D,#BF9975
80,Ethiopian montane moorlands,10,Montane Grasslands & Shrublands,Afrotropic,#A93800,#D6C39D,#E9DFBB
81,Highveld grasslands,10,Montane Grasslands & Shrublands,Afrotropic,#F8C29C,#D6C39D,#BA9076
82,Jos Plateau forest-grassland,10,Montane Grasslands & Shrublands,Afrotropic,#DEBDAC,#D6C39D,#E4D6B7
83,Madagascar ericoid thickets,10,Montane Grasslands & Shrublands,Afrotropic,#E600AA,#D6C39D,#B5B477
84,Mulanje Montane forest-grassland,10,Montane Grasslands & Shrublands,Afrotropic,#C98D68,#D6C39D,#DFCCB3
85,Nyanga-Chimanimani Montane forest-grassland,10,Montane Grasslands & Shrublands,Afrotropic,#B54B01,#D6C39D,#B0A978
86,Rwenzori-Virunga montane moorlands,10,Montane Grasslands & Shrublands,Afrotropic,#E600AA,#D6C39D,#DAC3AF
87,Southern Rift Montane forest-grassland,10,Montane Grasslands & Shrublands,Afrotropic,#A80000,#D6C39D,#AB9F79
88,Albany thickets,12,"Mediterranean Forests, Woodlands & Scrub",Afrotropic,#FF7F7E,#FE0000,#FD286D
89,Fynbos shrubland,12,"Mediterranean Forests, Woodlands & Scrub",Afrotropic,#CD8966,#FE0000,#FF0425
90,Renosterveld shrubland,12,"Mediterranean Forests, Woodlands & Scrub",Afrotropic,#B54B01,#FE0000,#F84800
91,Aldabra Island xeric scrub,13,Deserts & Xeric Shrublands,Afrotropic,#FA647F,#CC6767,#F17E8C
92,Djibouti xeric shrublands,13,Deserts & Xeric Shrublands,Afrotropic,#F5A27A,#CC6767,#C15B45
93,Eritrean coastal desert,13,Deserts & Xeric Shrublands,Afrotropic,#E74E6A,#CC6767,#EC809A
94,Gariep Karoo,13,Deserts & Xeric Shrublands,Afrotropic,#C17D4C,#CC6767,#BC5048
95,Hobyo grasslands and shrublands,13,Deserts & Xeric Shrublands,Afrotropic,#E05A57,#CC6767,#E783A6
96,Ile Europa and Bassas da India xeric scrub,13,Deserts & Xeric Shrublands,Afrotropic,#E3A653,#CC6767,#B74A4F
97,Kalahari xeric savanna,13,Deserts & Xeric Shrublands,Afrotropic,#E38454,#CC6767,#E29D85
98,Kaokoveld desert,13,Deserts & Xeric Shrublands,Afrotropic,#DE5245,#CC6767,#B24C5C
99,Madagascar spiny thickets,13,Deserts & Xeric Shrublands,Afrotropic,#E05A57,#CC6767,#DD9488
100,Madagascar succulent woodlands,13,Deserts & Xeric Shrublands,Afrotropic,#F7885B,#CC6767,#AD4E68
101,Nama Karoo shrublands,13,Deserts & Xeric Shrublands,Afrotropic,#BA8D4A,#CC6767,#D88C89
102,Namaqualand-Richtersveld steppe,13,Deserts & Xeric Shrublands,Afrotropic,#DFB44C,#CC6767,#A86E50
103,Namib Desert,13,Deserts & Xeric Shrublands,Afrotropic,#E89B49,#CC6767,#D38B90
104,Namibian savanna woodlands,13,Deserts & Xeric Shrublands,Afrotropic,#FCD135,#CC6767,#A36451
105,Socotra Island xeric shrublands,13,Deserts & Xeric Shrublands,Afrotropic,#A80000,#CC6767,#CE445E
106,Somali montane xeric woodlands,13,Deserts & Xeric Shrublands,Afrotropic,#E8914E,#CC6767,#F88F81
107,Southwest Arabian coastal xeric shrublands,13,Deserts & Xeric Shrublands,Afrotropic,#F2B654,#CC6767,#C9476E
108,Southwest Arabian Escarpment shrublands and woodlands,13,Deserts & Xeric Shrublands,Afrotropic,#B85E46,#CC6767,#F38584
109,Southwest Arabian highland xeric scrub,13,Deserts & Xeric Shrublands,Afrotropic,#D55063,#CC6767,#C4704A
110,Succulent Karoo xeric shrublands,13,Deserts & Xeric Shrublands,Afrotropic,#C73F49,#CC6767,#EE8691
111,Central African mangroves,14,Mangroves,Afrotropic,#E600AA,#FE01C4,#F10089
112,East African mangroves,14,Mangroves,Afrotropic,#E600AA,#FE01C4,#FF16FC
113,Guinean mangroves,14,Mangroves,Afrotropic,#E600AA,#FE01C4,#EC00A0
114,Madagascar mangroves,14,Mangroves,Afrotropic,#E600AA,#FE01C4,#E91CFF
115,Red Sea mangroves,14,Mangroves,Afrotropic,#E600AA,#FE01C4,#E700B7
116,Southern Africa mangroves,14,Mangroves,Afrotropic,#E600AA,#FE01C4,#FF228E
117,Adelie Land tundra,11,Tundra,Antarctica,#63CFAB,#9ED7C2,#83BB9F
118,Central South Antarctic Peninsula tundra,11,Tundra,Antarctica,#74E4F7,#9ED7C2,#B7E5DC
119,Dronning Maud Land tundra,11,Tundra,Antarctica,#57A7B4,#9ED7C2,#84B697
120,East Antarctic tundra,11,Tundra,Antarctica,#75CCFA,#9ED7C2,#7DE0C2
121,Ellsworth Land tundra,11,Tundra,Antarctica,#72EBD8,#9ED7C2,#84B190
122,Ellsworth Mountains tundra,11,Tundra,Antarctica,#5AB1D2,#9ED7C2,#80DBB5
123,Enderby Land tundra,11,Tundra,Antarctica,#4CAD9E,#9ED7C2,#84ACA7
124,Marie Byrd Land tundra,11,Tundra,Antarctica,#5EE6C0,#9ED7C2,#82D6A9
125,North Victoria Land tundra,11,Tundra,Antarctica,#65D6C4,#9ED7C2,#CAFFF3
126,Northeast Antarctic Peninsula tundra,11,Tundra,Antarctica,#4CA68D,#9ED7C2,#83D19F
127,Northwest Antarctic Peninsula tundra,11,Tundra,Antarctica,#6FC1DB,#9ED7C2,#C9FBEA
128,Prince Charles Mountains tundra,11,Tundra,Antarctica,#55C7AE,#9ED7C2,#85CCCA
129,Scotia Sea Islands tundra,11,Tundra,Antarctica,#71E0D9,#9ED7C2,#C5F6E0
130,South Antarctic Peninsula tundra,11,Tundra,Antarctica,#63EBDF,#9ED7C2,#86C7BE
131,South Orkney Islands tundra,11,Tundra,Antarctica,#60C4E8,#9ED7C2,#C1F1D6
132,South Victoria Land tundra,11,Tundra,Antarctica,#5DA9DB,#9ED7C2,#87C2B3
133,Southern Indian Ocean Islands tundra,11,Tundra,Antarctica,#69E7F5,#9ED7C2,#BDECCD
134,Transantarctic Mountains tundra,11,Tundra,Antarctica,#7AD4F7,#9ED7C2,#88BDAA
135,Admiralty Islands lowland rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#70A800,#38A700,#24B720
136,Banda Sea Islands moist deciduous forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#6C9400,#38A700,#3D8801
137,Biak-Numfoor rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#47B700,#38A700,#19B200
138,Buru rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#5AA500,#38A700,#4B8304
139,Central Range Papuan montane rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#4C7300,#38A700,#4EA300
140,Halmahera rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#70A800,#38A700,#567E07
141,Huon Peninsula montane rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#267400,#38A700,#4DA300
142,Lord Howe Island subtropical forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#4DE600,#38A700,#1BD310
143,Louisiade Archipelago rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#4C7300,#38A700,#5D9E00
144,New Britain-New Ireland lowland rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#23DB01,#38A700,#34CE15
145,New Britain-New Ireland montane rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#70A800,#38A700,#5C9E00
146,New Caledonia rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#70A701,#38A700,#4AC919
147,Norfolk Island subtropical forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#13ED00,#38A700,#6A9900
148,Northern New Guinea lowland rain and freshwater swamp forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#23DB01,#38A700,#5EC41D
149,Northern New Guinea montane rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#267400,#38A700,#0D9400
150,Queensland tropical rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#36C900,#38A700,#70BF20
151,Seram rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#6C9400,#38A700,#1D8F01
152,Solomon Islands rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#267400,#38A700,#72BA00
153,Southeast Papuan rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#267400,#38A700,#2D8B04
154,Southern New Guinea freshwater swamp forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#035701,#38A700,#00B500
155,Southern New Guinea lowland rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#98E500,#38A700,#3C8607
156,Sulawesi lowland rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#70A800,#38A700,#14B000
157,Sulawesi montane rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#267400,#38A700,#49810A
158,Trobriand Islands rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#47B700,#38A700,#26AB00
159,Vanuatu rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#23DB01,#38A700,#537C0C
160,Vogelkop montane rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#035701,#38A700,#48A100
161,Vogelkop-Aru lowland rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#5AA500,#38A700,#1FD019
162,Yapen rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,#5AA500,#38A700,#579C00
163,Lesser Sundas deciduous forests,2,Tropical & Subtropical Dry Broadleaf Forests,Australasia,#99C726,#CCCD65,#DFF199
164,New Caledonia dry forests,2,Tropical & Subtropical Dry Broadleaf Forests,Australasia,#BEE82E,#CCCD65,#C2AC5C
165,Sumba deciduous forests,2,Tropical & Subtropical Dry Broadleaf Forests,Australasia,#BAE33F,#CCCD65,#E5EC9C
166,Timor and Wetar deciduous forests,2,Tropical & Subtropical Dry Broadleaf Forests,Australasia,#75C202,#CCCD65,#BD9E5E
167,Chatham Island temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,#57DA36,#00734C,#008D59
168,Eastern Australian temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,#76ED33,#00734C,#025E58
169,Fiordland temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,#3BA625,#00734C,#008847
170,Nelson Coast temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,#5AA62A,#00734C,#04594A
171,New Zealand North Island temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,#47E02E,#00734C,#008336
172,New Zealand South Island temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,#A5E692,#00734C,#06543E
173,Northland temperate kauri forests,4,Temperate Broadleaf & Mixed Forests,Australasia,#B3D49D,#00734C,#007C7E
174,Rakiura Island temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,#65D447,#00734C,#074F33
175,Richmond temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,#4AD53E,#00734C,#00796E
176,Southeast Australia temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,#7CAD75,#00734C,#094A29
177,Tasmanian Central Highland forests,4,Temperate Broadleaf & Mixed Forests,Australasia,#267400,#00734C,#00745C
178,Tasmanian temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,#9DFA61,#00734C,#169E4A
179,Tasmanian temperate rain forests,4,Temperate Broadleaf & Mixed Forests,Australasia,#62E655,#00734C,#006A3D
180,Westland temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,#267400,#00734C,#199998
181,Arnhem Land tropical savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,#FCD357,#FEAA01,#F58F01
182,Brigalow tropical savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,#8BFC3A,#FEAA01,#FFE200
183,Cape York Peninsula tropical savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,#F8FD6F,#FEAA01,#F07406
184,Carpentaria tropical savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,#C5FC7D,#FEAA01,#FFC600
185,Einasleigh upland savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,#CEFC39,#FEAA01,#EB5C0C
186,Kimberly tropical savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,#E8FC39,#FEAA01,#FF8C00
187,Mitchell Grass Downs,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,#D7FC61,#FEAA01,#E6DF11
188,Trans Fly savanna and grasslands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,#8FFC7D,#FEAA01,#FF8D00
189,Victoria Plains tropical savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,#FBCA49,#FEAA01,#E1C416
190,Canterbury-Otago tussock grasslands,8,"Temperate Grasslands, Savannas & Shrublands",Australasia,#FCDC79,#FEFF73,#FFDC61
191,Eastern Australia mulga shrublands,8,"Temperate Grasslands, Savannas & Shrublands",Australasia,#FDB666,#FEFF73,#D5DD7D
192,Southeast Australia temperate savanna,8,"Temperate Grasslands, Savannas & Shrublands",Australasia,#FDC975,#FEFF73,#FFCD67
193,Australian Alps montane grasslands,10,Montane Grasslands & Shrublands,Australasia,#F87C3E,#D6C39D,#AFA28C
194,New Zealand South Island montane grasslands,10,Montane Grasslands & Shrublands,Australasia,#B47228,#D6C39D,#D9D69A
195,Papuan Central Range sub-alpine grasslands,10,Montane Grasslands & Shrublands,Australasia,#D3AE79,#D6C39D,#AA9A88
196,Antipodes Subantarctic Islands tundra,11,Tundra,Australasia,#6BB3F3,#9ED7C2,#9FC7B1
197,Coolgardie woodlands,12,"Mediterranean Forests, Woodlands & Scrub",Australasia,#FF7F7E,#FE0000,#FF0041
198,Esperance mallee,12,"Mediterranean Forests, Woodlands & Scrub",Australasia,#E54C00,#FE0000,#F81105
199,Eyre and York mallee,12,"Mediterranean Forests, Woodlands & Scrub",Australasia,#E54C00,#FE0000,#FF5A00
200,Flinders-Lofty montane woodlands,12,"Mediterranean Forests, Woodlands & Scrub",Australasia,#A80000,#FE0000,#F30A19
201,Hampton mallee and woodlands,12,"Mediterranean Forests, Woodlands & Scrub",Australasia,#CD8966,#FE0000,#FF3E00
202,Jarrah-Karri forest and shrublands,12,"Mediterranean Forests, Woodlands & Scrub",Australasia,#F5A27A,#FE0000,#EE1036
203,Murray-Darling woodlands and mallee,12,"Mediterranean Forests, Woodlands & Scrub",Australasia,#CD8966,#FE0000,#FF2100
204,Naracoorte woodlands,12,"Mediterranean Forests, Woodlands & Scrub",Australasia,#B3493B,#FE0000,#E91551
205,Southwest Australia savanna,12,"Mediterranean Forests, Woodlands & Scrub",Australasia,#C63901,#FE0000,#FF0018
206,Southwest Australia woodlands,12,"Mediterranean Forests, Woodlands & Scrub",Australasia,#A80000,#FE0000,#E45B1A
207,Carnarvon xeric shrublands,13,Deserts & Xeric Shrublands,Australasia,#F27C62,#CC6767,#DC646F
208,Central Ranges xeric scrub,13,Deserts & Xeric Shrublands,Australasia,#CC5247,#CC6767,#AD7C6F
209,Gibson desert,13,Deserts & Xeric Shrublands,Australasia,#CF5167,#CC6767,#D7667D
210,Great Sandy-Tanami desert,13,Deserts & Xeric Shrublands,Australasia,#FF7F7E,#CC6767,#A8756F
211,Great Victoria desert,13,Deserts & Xeric Shrublands,Australasia,#B3493B,#CC6767,#D2698A
212,Nullarbor Plains xeric shrublands,13,Deserts & Xeric Shrublands,Australasia,#F05D6F,#CC6767,#A33738
213,Pilbara shrublands,13,Deserts & Xeric Shrublands,Australasia,#E34661,#CC6767,#CD886B
