provider,biome_id,display_name,notes,source
NATURES_SPIRIT,natures_spirit:alpine_clearings,Alpine Clearings,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:alpine_highlands,Alpine Highlands,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:arid_highlands,Arid Highlands,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:arid_savanna,Arid Savanna,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:aspen_forest,Aspen Forest,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:bamboo_wetlands,Bamboo Wetlands,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:blooming_dunes,Blooming Dunes,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:blooming_highlands,Blooming Highlands,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:blooming_sugi_forest,Blooming Sugi Forest,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:boreal_taiga,Boreal Taiga,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:carnation_fields,Carnation Fields,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:cedar_thicket,Cedar Thicket,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:chaparral,Chaparral,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:coniferous_covert,Coniferous Covert,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:cypress_fields,Cypress Fields,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:drylands,Drylands,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:dusty_slopes,Dusty Slopes,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:fir_forest,Fir Forest,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:floral_ridges,Floral Ridges,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:flowering_shrubland,Flowering Shrubland,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:golden_wilds,Golden Wilds,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:heather_fields,Heather Fields,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:lavender_fields,Lavender Fields,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:lively_dunes,Lively Dunes,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:maple_woodlands,Maple Woodlands,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:marigold_meadows,Marigold Meadows,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:marsh,Marsh,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:oak_savanna,Oak Savanna,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:prairie,Prairie,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:red_peaks,Red Peaks,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:redwood_forest,Redwood Forest,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:scorched_dunes,Scorched Dunes,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:shrubby_highlands,Shrubby Highlands,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:shrubland,Shrubland,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:sleeted_slopes,Sleeted Slopes,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
